coach,team,year_w_team,season
Alvin Gentry,NOP,1,2015-2016
Derek Fisher,NYK,2,2015-2016
Kurt Rambis,NYK,1,2015-2016
Billy Donovan,OKC,1,2015-2016
Scott Skiles,ORL,1,2015-2016
Brett Brown,PHI,3,2015-2016
Jeff Hornacek,PHO,3,2015-2016
Earl Watson,PHO,1,2015-2016
Terry Stotts,POR,4,2015-2016
George Karl,SAC,2,2015-2016
Gregg Popovich,SAS,20,2015-2016
Dwane Casey,TOR,5,2015-2016
Quin Snyder,UTA,2,2015-2016
Randy Wittman,WAS,5,2015-2016
Mike Budenholzer,ATL,4,2016-2017
Brad Stevens,BOS,4,2016-2017
Kenny Atkinson,BRK,1,2016-2017
Fred Hoiberg,CHI,2,2016-2017
Steve Clifford,CHO,4,2016-2017
Tyronn Lue,CLE,2,2016-2017
Rick Carlisle,DAL,9,2016-2017
Michael Malone,DEN,2,2016-2017
Stan Van Gundy,DET,3,2016-2017
Steve Kerr,GSW,3,2016-2017
Mike D'Antoni,HOU,1,2016-2017
Nate McMillan,IND,1,2016-2017
Doc Rivers,LAC,4,2016-2017
Luke Walton,LAL,1,2016-2017
David Fizdale,MEM,1,2016-2017
Erik Spoelstra,MIA,9,2016-2017
Jason Kidd,MIL,3,2016-2017
Tom Thibodeau,MIN,1,2016-2017
Alvin Gentry,NOP,2,2016-2017
Jeff Hornacek,NYK,1,2016-2017
Billy Donovan,OKC,2,2016-2017
Frank Vogel,ORL,1,2016-2017
Brett Brown,PHI,4,2016-2017
Earl Watson,PHO,2,2016-2017
Terry Stotts,POR,5,2016-2017
Dave Joerger,SAC,1,2016-2017
Gregg Popovich,SAS,21,2016-2017
Dwane Casey,TOR,6,2016-2017
Quin Snyder,UTA,3,2016-2017
Scott Brooks,WAS,1,2016-2017
Mike Budenholzer,ATL,5,2017-2018
Brad Stevens,BOS,5,2017-2018
Kenny Atkinson,BRK,2,2017-2018
Fred Hoiberg,CHI,3,2017-2018
Steve Clifford,CHO,5,2017-2018
Tyronn Lue,CLE,3,2017-2018
Rick Carlisle,DAL,10,2017-2018
Michael Malone,DEN,3,2017-2018
Stan Van Gundy,DET,4,2017-2018
Steve Kerr,GSW,4,2017-2018
Mike D'Antoni,HOU,2,2017-2018
Nate McMillan,IND,2,2017-2018
Doc Rivers,LAC,5,2017-2018
Luke Walton,LAL,2,2017-2018
David Fizdale,MEM,2,2017-2018
J.B. Bickerstaff,MEM,1,2017-2018
Erik Spoelstra,MIA,10,2017-2018
Jason Kidd,MIL,4,2017-2018
Joe Prunty,MIL,1,2017-2018
Tom Thibodeau,MIN,2,2017-2018
Alvin Gentry,NOP,3,2017-2018
Jeff Hornacek,NYK,2,2017-2018
Billy Donovan,OKC,3,2017-2018
Frank Vogel,ORL,2,2017-2018
Brett Brown,PHI,5,2017-2018
Earl Watson,PHO,3,2017-2018
Jay Triano,PHO,1,2017-2018
Terry Stotts,POR,6,2017-2018
Dave Joerger,SAC,2,2017-2018
Gregg Popovich,SAS,22,2017-2018
Dwane Casey,TOR,7,2017-2018
Quin Snyder,UTA,4,2017-2018
Scott Brooks,WAS,2,2017-2018
Lloyd Pierce,ATL,1,2018-2019
Brad Stevens,BOS,6,2018-2019
Kenny Atkinson,BRK,3,2018-2019
Fred Hoiberg,CHI,4,2018-2019
Jim Boylen,CHI,1,2018-2019
James Borrego,CHO,1,2018-2019
Tyronn Lue,CLE,4,2018-2019
Larry Drew,CLE,1,2018-2019
Rick Carlisle,DAL,11,2018-2019
Michael Malone,DEN,4,2018-2019
Dwane Casey,DET,1,2018-2019
Steve Kerr,GSW,5,2018-2019
Mike D'Antoni,HOU,3,2018-2019
Nate McMillan,IND,3,2018-2019
Doc Rivers,LAC,6,2018-2019
Luke Walton,LAL,3,2018-2019
J.B. Bickerstaff,MEM,2,2018-2019
Erik Spoelstra,MIA,11,2018-2019
Mike Budenholzer,MIL,1,2018-2019
Tom Thibodeau,MIN,3,2018-2019
Ryan Saunders,MIN,1,2018-2019
Alvin Gentry,NOP,4,2018-2019
David Fizdale,NYK,1,2018-2019
Billy Donovan,OKC,4,2018-2019
Steve Clifford,ORL,1,2018-2019
Brett Brown,PHI,6,2018-2019
Igor Kokoskov,PHO,1,2018-2019
Terry Stotts,POR,7,2018-2019
Dave Joerger,SAC,3,2018-2019
Gregg Popovich,SAS,23,2018-2019
Nick Nurse,TOR,1,2018-2019
Quin Snyder,UTA,5,2018-2019
Scott Brooks,WAS,3,2018-2019
Lloyd Pierce,ATL,3,2020-2021
Nate McMillan,ATL,1,2020-2021
Brad Stevens,BOS,8,2020-2021
Steve Nash,BRK,1,2020-2021
Billy Donovan,CHI,1,2020-2021
James Borrego,CHO,3,2020-2021
J.B. Bickerstaff,CLE,2,2020-2021
Rick Carlisle,DAL,13,2020-2021
Michael Malone,DEN,6,2020-2021
Dwane Casey,DET,3,2020-2021
Steve Kerr,GSW,7,2020-2021
